"28","UWCNF_22","1037","xanthomendoza",NA,2002,"PIXE",0.1713,0.773,NA,2.57,0.1249,0.1365,707,4.74,NA,95.9,NA,8.15,2.68,8.51,1987,44.2,NA,NA,2.58,41.9,1.23,3486,10.9,274,9.59,189,3392,9.61,8.99,0.045,7.252,237.5,"40.52242","-111.6126"
"29","UWCNF_21","1033","xanthomendoza",NA,2002,"PIXE",0.1885,0.5064,NA,3.06,0.129,0.1204,800,2.03,NA,81.1,NA,8.7,2.97,7.11,2126,96.7,NA,NA,3.35,7.92,2.08,4680,20.5,302,7.24,49.9,1408,8.97,13.4,0.142,7.04,260,"40.49043","-111.1093"
"30","UWCNF_10","1397","rhizoplaca",2012,2012,"ICP",8.73,0.49,0.07,0.69,0.08,0.1,NA,1.17,NA,4.4,0.97,0.35,2.01,5.99,1388,23.4,0.005,58.5,2.03,22.2,0.01,82.59,129.1,14.1,0.005,33.4,NA,NA,NA,0.179,98.44,NA,"40.40203","-111.6442"
"31","NCHT_1","1447","rhizoplaca",2013,2013,"ICP",4.71,0.58,0.08,1.14,0.09,0.12,NA,1.82,8.97,6.86,0.42,0.38,1.94,4.96,1525,40.9,0.005,111.4,0.01,6.12,0.01,82.3,86.3,18.7,0.005,21,NA,NA,NA,0.236,81.551,NA,"38.6838","-117.3365"
"32","ANF_2","1393","rhizoplaca",2012,2012,"ICP",8.72,0.38,0.11,0.45,0.06,0.06,NA,1.97,NA,15.7,0.59,0.34,2.19,3.56,1201,23.1,0.005,71.8,1.41,9,0.01,70.85,134.2,15.2,0.005,20.8,NA,NA,NA,0.171,79.013,NA,"40.078","-110.848"
"33","ANF_3","1394","rhizoplaca",2012,2012,"ICP",8.79,0.45,0.17,0.6,0.07,0.09,NA,0.21,NA,23.5,0.99,0.49,2.02,5.09,1866,35.8,0.005,68.2,1.74,17.7,0.01,70.86,241.9,26.2,0.005,28.9,NA,NA,NA,0.176,71.221,NA,"39.943","-110.663"
"34","UWCNF_12","1396","xanthomendoza",2012,2012,"ICP",0.46,1.75,0.23,2.55,0.26,0.3,169,2.01,NA,10.3,0.75,1.03,3,10.14,2460,89.2,0.005,135.1,2.6,3.5,0.01,0.245,9.3,36.3,0.005,133,NA,NA,NA,0.076,67.769,NA,"39.80445","-111.6944"
"35","ERSM_8","1487","rhizoplaca",2014,2014,"ICP",3.87,0.3,0.07,1.22,0.13,0.17,NA,3.45,6.51,15.1,0.52,0.88,4.33,5.74,2724,42.4,0.09,75.5,1.68,6.75,0.01,226,79.1,46.6,0.005,35.5,NA,NA,NA,0.162,58.45493562,NA,"39.49306","-119.89471"
"36","NCHT_6","1451","rhizoplaca",2013,2013,"ICP",2.84,0.47,0.07,0.89,0.08,0.1,NA,2.32,7.77,14.27,0.46,0.46,1.7,3.55,2332,46.3,0.005,107.4,0.01,10.87,0.01,58.7,77.5,40.63,0.005,29,NA,NA,NA,0.122,57.3960128,NA,"38.63395","-116.6732"
"37","HUW_11","1174","rhizoplaca ",2009,2009,"nk",5.21,0.34,0.129,1.04,0.095,0.125,NA,1.57,NA,17.44,0.67,2.26,5.17,7.94,1768,36.46,0.005,236.9,2,5.82,0.01,11.24,49.82,31.04,0.005,27.89,NA,NA,NA,0.28,56.96,NA,"40.85528","-110.87441"
